,taxon,leaf_part_margin,leaf position,fruit_part_apex_shape,leaf_part_apex_shape,fruit_part_surface,flower_part_surface,leaf_part_venation_lateral,leaf_part_hair_shape,inflorescence_shape,leaf_part_venation,fruit_part_venation,part_color,article_surface,leaf_part_base_shape,leaf_part_hair_surface,leaf_part_lobe_shape,phyllichnia_shape,part_surface,leaf_part_color,inflorescence_surface,leaf_part_surface,fruit_part_shape,fruit_part_color,part_shape,leaf_part_margin_margin,flower_part_shape,leaf_part_shape,leaf_part_size_width,branch_length,inflorescence_size_width,part_size_width,part_size_length,fruit_part_size_width,leaf_part_size_length,part_size_diameter,part_size_thickness,article_width,inflorescence_size_length,fruit_part_size_thickness,article_length,leaf_part_size_thickness,leaflet_number,part_size_height,flower_part_size_length,fruit_part_size_length
0,Alnus,16,,,,,,,,,,,35,,,,,,15,,,31,69,,28,14,,57,nan,nan,nan,nan,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,Alnus glutinosa,8,,,30,,,,,,15,,6,,34,,,,15,,,22,54,,24,,,47,5.5,nan,nan,nan,7.833333333333333,1.25,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,1.85
2,Alnus incana,,,,3,,,,,,,,19,,27,,,,15,,,,13,,47,14,,57,nan,nan,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Alnus incana subsp. rugosa,21,,,32,,,,,,15,,13,,27,,,,15,14,,30,63,,15,14,,57,5.5,nan,nan,nan,4.583333333333334,1.0,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.35
4,Alnus incana subsp. tenuifolia,,,,32,,,,,,,,19,,36,,,,15,,,22,63,,15,1,,57,5.25,nan,nan,nan,4.916666666666666,1.05,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.5
5,Alnus maritima,,,,8,,,,,,,,19,,27,,,,15,,,30,34,,15,,,17,3.5,nan,nan,nan,3.875,1.7000000000000002,6.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.5,2.0
6,Alnus oblongifolia,8,,,3,,,,,,,,19,,27,,,,15,,,22,29,,28,,,91,4.5,nan,nan,nan,8.375,1.15,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.5,1.75
7,Alnus rhombifolia,16,,,34,,,,,,,,19,,36,,,,15,,,30,34,,24,,,91,3.5,nan,nan,nan,9.666666666666666,0.85,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,1.6
8,Alnus rubra,2,,,8,,,,,,,,19,,36,,,,15,,,30,83,,15,,,57,7.0,nan,nan,nan,9.666666666666668,1.05,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,2.25
9,Alnus serrulata,18,,,34,,,,,,,,19,,27,,,,15,,,37,32,,47,,,17,5.75,nan,nan,nan,4.583333333333334,0.8999999999999999,9.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.6
10,Alnus viridis,,,,8,,,,,,,,,,36,,,,15,,,8,0,,28,14,,57,5.5,nan,nan,nan,5.5,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,Alnus viridis subsp. crispa,,,,8,,,,,,,,8,,36,,,,,23,,8,,,,28,,57,4.0,nan,nan,nan,3.0,0.85,4.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.6
12,Alnus viridis subsp. fruticosa,8,,,8,,,,,,15,,8,,54,,,,,23,,30,,,,,,57,4.5,nan,nan,nan,3.0,0.85,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.6
13,Alnus viridis subsp. sinuata,8,,,3,,,,,,,,19,,36,,,,,29,,8,,,,,,57,5.5,nan,nan,nan,5.0,1.05,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0
14,Betula,,,,,,,,,,,,13,,,,,,15,,,11,69,,0,24,,57,4.25,nan,nan,nan,30.0,nan,5.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
