fruit_part_shape.1.shape
acute,0
branched,1
campanulate,2
concave,3
conelike,4
convex,5
cup-shaped,6
cupular,7
cymbiform,8
deltoid,9
disk,10
ellipsoid,11
ellipsoid-oblong,12
ellipsoid-obovoid,13
ellipsoid-ovoid,14
ellipsoid-spheric,15
elliptic,16
elliptic-obovate,17
elliptic-ovate,18
elongate,19
funnelform,20
fusiform,21
grooved,22
linear,23
obconic,24
oblong,25
obovate,26
obovoid,27
orbicular,28
ovate,29
ovate-triangular,30
ovoid,31
ovoid-spheric,32
ovoid-triangular,33
pendulous,34
radially symmetric,35
recurved,36
rhomboid,37
saucerlike,38
spheric,39
stipitate glandular,40
straight,41
subglobose,42
triangular,43
tubular,44
turbinate,45
