,taxon,leaf_part_margin,leaf position,fruit_part_apex_shape,leaf_part_apex_shape,fruit_part_surface,flower_part_surface,leaf_part_venation_lateral,leaf_part_hair_shape,inflorescence_shape,leaf_part_venation,fruit_part_venation,part_color,article_surface,leaf_part_base_shape,leaf_part_hair_surface,leaf_part_lobe_shape,phyllichnia_shape,part_surface,leaf_part_color,inflorescence_surface,leaf_part_surface,fruit_part_shape,fruit_part_color,part_shape,leaf_part_margin_margin,flower_part_shape,leaf_part_shape,leaf_part_size_width,branch_length,inflorescence_size_width,part_size_width,part_size_length,fruit_part_size_width,leaf_part_size_length,part_size_diameter,part_size_thickness,article_width,inflorescence_size_length,fruit_part_size_thickness,article_length,leaf_part_size_thickness,leaflet_number,part_size_height,flower_part_size_length,fruit_part_size_length
0,Alnus,"['serrate', 'serrulate', 'entire']",[],[],[],[],[],[],[],[],[],[],"['white', 'red']",[],[],[],[],[],['smooth'],[],[],"['surface', 'glandular', 'tomentose', 'glabrous']",['pendulous'],[],"['', 'ovoid', 'valvate', 'ellipsoid']",['doubly serrate'],[],['ovate'],nan,nan,nan,nan,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,Alnus glutinosa,"['dentate', 'doubly serrate']",[],[],"['obcordate', 'retuse']",[],[],[],[],[],['vein'],[],['brown'],[],"['cuneate', 'obtuse']",[],[],[],['smooth'],[],[],"['surface', 'pubescent', 'glabrous']","['obovate', 'spheric', 'ovoid']",[],"['obovoid', 'valvate', 'ellipsoid']",[],[],['obovate'],5.5,nan,nan,nan,7.833333333333333,1.25,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,1.85
2,Alnus incana,[],[],[],"['acute', 'acuminate', 'obtuse']",[],[],[],[],[],[],[],"['gray', 'brown', 'red']",[],"['orbicular', 'cuneate']",[],[],[],['smooth'],[],[],[],"['', 'bilaterally symmetric', 'elliptic', 'obovate', 'ovoid']",[],"['bilaterally symmetric', 'valvate', 'ellipsoid']",['doubly serrate'],[],['ovate'],nan,nan,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Alnus incana subsp. rugosa,['toothed'],[],[],"['acute', 'acuminate', 'obtuse']",[],[],[],[],[],['vein'],[],"['white', 'gray', 'brown-red']",[],"['orbicular', 'cuneate']",[],[],[],['smooth'],['glaucous'],[],"['surface', 'pubescent', 'glabrous']",['ovoid'],[],['ellipsoid'],['doubly serrate'],[],['ovate'],5.5,nan,nan,nan,4.583333333333334,1.0,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.35
4,Alnus incana subsp. tenuifolia,[],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],"['gray', 'brown']",[],"['orbicular', 'cuneate']",[],[],[],['smooth'],[],[],"['surface', 'pubescent', 'glabrous']",['ovoid'],[],"['orbicular', 'elliptic', 'valvate', 'ellipsoid']","['crenate', 'lobulate', 'doubly serrate']",[],['ovate'],5.25,nan,nan,nan,4.916666666666666,1.05,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.5
5,Alnus maritima,[],[],[],['acute'],[],[],[],[],[],[],[],['gray'],[],"['acute', 'cuneate']",[],[],[],['smooth'],[],[],"['surface', 'glabrous']","['ovoid', 'elliptic']",[],"['ovoid', 'ellipsoid']",[],[],['elliptic'],3.5,nan,nan,nan,3.875,1.7000000000000002,6.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.5,2.0
6,Alnus oblongifolia,"['serrate', 'doubly serrate']",[],[],['acuminate'],[],[],[],[],[],[],[],"['gray', 'black']",[],"['orbicular', 'cuneate']",[],[],[],['smooth'],[],[],"['surface', 'pubescent', 'villose', 'glabrous']","['', 'bilaterally symmetric', 'elliptic', 'obovate', 'ovoid', 'ellipsoid']",[],['ovoid'],[],[],['valvate'],4.5,nan,nan,nan,8.375,1.15,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.5,1.75
7,Alnus rhombifolia,"['serrate', 'serrulate']",[],[],"['orbicular', 'acute', 'obtuse']",[],[],[],[],[],[],[],['gray'],[],"['orbicular', 'cuneate']",[],[],[],['smooth'],[],[],"['surface', 'pubescent', 'villose']","['', 'bilaterally symmetric', 'ovoid', 'elliptic']",[],"['obovoid', 'ellipsoid']",[],[],['valvate'],3.5,nan,nan,nan,9.666666666666666,0.85,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,1.6
8,Alnus rubra,"['crenate', 'doubly serrate']",[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],['gray'],[],"['orbicular', 'cuneate']",[],[],[],['smooth'],[],[],"['surface', 'pubescent', 'glabrous']","['spheric', 'elliptic', 'obovate', 'ovate', 'ovoid']",[],"['rhomboid', 'valvate', 'ellipsoid']",[],[],['ovate'],7.0,nan,nan,nan,9.666666666666668,1.05,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,2.25
9,Alnus serrulata,['serrulate'],[],[],"['orbicular', 'obtuse']",[],[],[],[],[],[],[],['gray'],[],['cuneate'],[],[],[],['smooth'],[],[],"['surface', 'villose', 'glabrous']","['obovate', 'ellipsoid-ovoid', 'elliptic']",[],"['obovoid', 'valvate', 'ellipsoid']",[],[],['elliptic'],5.75,nan,nan,nan,4.583333333333334,0.8999999999999999,9.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.6
