leaf_apex_shape
abruptly acuminate,0
abruptly acute,1
abruptly narrowed,2
abruptly tapered,3
acuminate,4
acuminate-caudate,5
acuminate-long,6
acuminate-mucronate,7
acute,8
acute-caudate,9
acutish,10
angular,11
apiculate,12
attenuate,13
caudate,14
cuspidate,15
emarginate,16
falcate,17
long,18
mucronate,19
narrowed,20
obcordate,21
oblique,22
obtuse,23
obtuse-orbicular,24
orbicular,25
ovate,26
pointed,27
pointed-slender,28
recurved,29
retuse,30
rounded,31
rounded-long,32
short abrupt point,33
slender,34
slenderly pointed,35
subacuminate,36
subacute,37
taper-pointed,38
tapering,39
triangular,40
truncate,41
