leaf_color
beneath-shining,0
black,1
black-brown,2
blue-green,3
blue-white,4
bronze,5
brown,6
brown with broad white erose margins,7
brown-gray,8
brown-orange,9
brown-pruinose,10
brown-purple,11
brown-red,12
brown-yellow,13
glaucous,14
glossy green above,15
glossy-green,16
golden,17
gray,18
gray-green,19
gray-silver,20
gray-tan,21
gray-white,22
gray-yellow,23
green,24
green above,25
green-green,26
green-white,27
green-yellow,28
lower surface  green,29
lower surface  green with appressed pubescence on veins,30
lower surface  green-yellow,31
lower surface r,32
lower surface white,33
not overlapping,34
orange,35
purple,36
r beneath,37
red,38
silver,39
silver-tan,40
upper surface  green,41
upper surface  lustrous green,42
upper surface green,43
upper surface green and not glossy,44
white,45
with broad whitish translucent margins at least towards apex,46
yellow,47
