leaf_margin
acuminate-tooth,0
coarsely toothed,1
crenate,2
crenate-dentate,3
crenate-serrate,4
crisped,5
crisped-undulate,6
dentate,7
dentate-serrate,8
dentate-undulate,9
denticulate,10
denticulate-serrate,11
double-toothed,12
doubly serrate,13
doubly serrate-incised,14
doubly serrated,15
doubly toothed,16
entire,17
entire-serrate,18
finely toothed,19
fringe-toothed,20
incised-serrate,21
incurved-serrate-setiform,22
irregularly toothed,23
lobate,24
lobed,25
lobulate,26
ly serrate,27
mucronate-serrate,28
mucronate-serrate-setiform,29
recurved-serrate-setiform,30
revolute,31
serrate,32
serrate-setiform,33
serrate-setiform-subincurved,34
serrate-undulate,35
serrulate,36
simply toothed,37
sinuate,38
tooth,39
toothed,40
triangularly toothed,41
undulate,42
