leaf_shape
,0
acuminate,1
acuminate-caudate,2
acute,3
acutely angular,4
below,5
bilaterally symmetric,6
branched,7
broad ovate,8
bullate,9
caudate,10
concave,11
convex,12
cuneate,13
cuneate-obovate,14
curved,15
deltoid,16
deltoid-ovate,17
elliptic,18
elliptic-elliptic-lanceolate,19
elliptic-lanceolate,20
elliptic-oblong,21
elliptic-obovate,22
elliptic-ovate,23
elliptical,24
heart-ovate-shaped,25
heart-shaped,26
incised,27
lanceolate,28
lanceolate-oblong,29
lanceolate-oblong-oblong,30
lanceolate-obovate,31
lanceolate-ovate,32
linear,33
linear-oblanceolate,34
oblanceolate,35
oblanceolate-obovate,36
oblong,37
oblong-obovate,38
oblong-ovate,39
obovate,40
obovate or roundish,41
obovate-ovate,42
obovate-reniform,43
obtuse,44
orbicular,45
orbicular-ovate,46
oundish obovate,47
oval,48
ovate,49
ovate-lanceolate-ovate,50
ovate-ovate,51
ovate-rhomboic,52
ovate-rhomboid,53
ovate-triangular,54
ovoid,55
petiolate,56
pinnatifid,57
recurved,58
rhombic,59
rhombic-triangular,60
rhomboic,61
rhomboic-triangular,62
round,63
roundish,64
saucerlike,65
slender,66
spatulate,67
spheric,68
stellate,69
straight,70
subcordate,71
sulcate,72
triangular,73
trifoliolate,74
twisted,75
valvate,76
widest  below the middle to  above,77
widest  below to  above the middle,78
widest  below to  above the middle decurrent,79
widest about the middle,80
widest about the middle to  lower higher,81
widest about the widest at the middle to  below,82
widest at or below the middle,83
widest at the middle,84
widest at the middle to  above,85
widest at the middle to  below,86
widest below the middle to  about the middle,87
widest below the middle to  above,88
