phyllichnia_shape
angular,0
angular to rounded,1
"angular to sometimes rounded,median ridge",2
"angular,markedly rounded,minutely serrate median ridge",3
"angular,median ridge",4
"angular,rounded",5
"angular,rounded,central ridge",6
"angular,rounded,median ridge",7
"angular,rounded,occasionally sparsely and minutely pubescent",8
"angular,very finely verruculose on angle,serrate on angle",9
angulate,10
dorsally rounded,11
flat,12
flat to slightly rounded,13
"flat, slightly verruculose",14
"flat,broad shallow median groove",15
"flat,shallow median groove",16
"flat,slight median groove",17
"flat,slightly rounded",18
"flat,slightly rounded, verruculose",19
"flat,slightly rounded, with faint median groove",20
"flat,slightly rounded,faint median groove",21
"flat,slightly rounded,median groove",22
"markedly angular,median ridge",23
often median groove,24
rounded,25
rounded occasionally only slightly so,26
rounded to angular,27
"rounded,angular",28
"rounded,broad median groove",29
"rounded,lacking median groove",30
"rounded,median groove",31
"rounded,nearly flat",32
"rounded,slightly rounded",33
"rounded,sometimes angular",34
"rounded,verruculose,smooth",35
sharply angular,36
slightly rounded,37
"slightly rounded, often sparsely and minutely pubescent",38
"slightly rounded,flat, faint median groove",39
"slightly rounded,verruculose median ridge",40
"slightly rounded,verruculose ridge",41
"strongly angular,white central rib, often minutely serrate",42
strongly rounded,43
"strongly,slightly rounded",44
