Accepted term,Low extreme,Low,High,High extreme
anther_count,,anther_count.1.low,anther_count.1.high,
anther_count_pistillate,,anther_count_pistillate.1.low,,bract_count.1.max
anther_locular_count,,anther_locular_count.1.low,,bract_count_pistillate.2.max
beak_count,,beak_count.1.low,,
bract_apex_count,,bract_apex_count.1.low,,
bract_base_count,,bract_base_count.1.low,bract_base_count.1.high,
bract_count,bract_count.1.min,bract_count.1.low,bract_count.1.high,
bract_count,bract_count.2.min,bract_count.2.low,bract_count.2.high,
bract_count,,bract_count.3.low,bract_count.3.high,
bract_count_male,bract_count_male.1.min,bract_count_male.1.low,bract_count_male.1.high,
bract_count_male,,bract_count_male.2.low,,
bract_count_pistillate,,bract_count_pistillate.1.low,,
bract_count_pistillate,,bract_count_pistillate.2.low,bract_count_pistillate.2.high,
bract_count_staminate,,bract_count_staminate.1.low,,
bract_lobe_count,,bract_lobe_count.1.low,bract_scales_count.1.high,
bract_lobe_count_male,,bract_lobe_count_male.1.low,,
bract_ray_count,,bract_ray_count.1.low,,
bract_scales_count,,bract_scales_count.1.low,,
bract_valve_count,,bract_valve_count.1.low,bract_valve_count.1.high,
branch_article_count,,branch_article_count.1.low,,
branch_bud_scales_count,,branch_bud_scales_count.1.low,,
branch_count,,branch_count.1.low,branch_count.1.high,
branch_count_staminate,,branch_count_staminate.1.low,branch_count_staminate.1.high,
branch_furcate_count,,branch_furcate_count.1.low,branch_furcate_count.1.high,
branch_hair_count,,branch_hair_count.1.low,,
branch_leaf_count,,branch_leaf_count.1.low,,
branch_leaf_hair_count,,branch_leaf_hair_count.1.low,,
branch_rachis_count,,branch_rachis_count.1.low,,
branch_scales_count,,branch_scales_count.1.low,branch_scales_count.1.high,
branch_tooth_count,bud_ray_count.1.min,branch_tooth_count.1.low,branch_tooth_count.1.high,
bud_count,,bud_count.1.low,,
bud_hair_count,,bud_hair_count.1.low,,
bud_ray_count,,bud_ray_count.1.low,bud_ray_count.1.high,bud_ray_count.1.max
bud_scales_count,,bud_scales_count.1.low,bud_scales_count.1.high,bud_scales_count.1.max
calyx_lobe_count,,calyx_lobe_count.1.low,calyx_lobe_count.1.high,
calyx_lobe_count,,calyx_lobe_count.2.low,,
carpel_count,,carpel_count.1.low,,carpel_count.1.max
carpel_count,,carpel_count.2.low,carpel_count.2.high,carpel_count.2.max
carpellate_count,,carpellate_count.1.low,,carpellate_count.1.max
catkin_count,,catkin_count.1.low,catkin_count.1.high,
catkin_count_pistillate,,catkin_count_pistillate.1.low,catkin_count_pistillate.1.high,
catkin_count_staminate,,catkin_count_staminate.1.low,catkin_count_staminate.1.high,
catkin_lobe_count,,catkin_lobe_count.1.low,catkin_lobe_count.1.high,
catkin_ray_count,,catkin_ray_count.1.low,catkin_ray_count.1.high,
corolla_count,,corolla_count.1.low,,
corolla_count,,corolla_count.2.low,,
cotyledon_count,,cotyledon_count.1.low,,
cotyledon_endosperm_count,,cotyledon_endosperm_count.1.low,,
cotyledon_lobe_count,,cotyledon_lobe_count.1.low,cotyledon_lobe_count.1.high,
cyme_count,cyme_count.1.min,cyme_count.1.low,,
dehiscent_count,,dehiscent_count.1.low,,
dehiscent_lobe_count,,dehiscent_lobe_count.1.low,,
disk_count,,disk_count.1.low,disk_count.1.high,
disk_lobe_count,,disk_lobe_count.1.low,,
drupe_count,,drupe_count.1.low,,
fascicles_count,fascicles_count.1.min,fascicles_count.1.low,fascicles_count.1.high,
fascicles_count,,fascicles_count.2.low,fascicles_count.2.high,
fascicles_count_male,,fascicles_count_male.1.low,fascicles_count_male.1.high,
fascicles_count_staminate,,fascicles_count_staminate.1.low,,
fascicles_hair_count,,fascicles_hair_count.1.low,,
filament_count,,filament_count.1.low,,
filament_locular_count,,filament_locular_count.1.low,,
flower_count,flower_count.1.min,flower_count.1.low,flower_count.1.high,flower_count.1.max
flower_count,,flower_count.2.low,,
flower_count_male,,flower_count_male.1.low,flower_count_male.1.high,
flower_count_pistillate,flower_count_pistillate.1.min,flower_count_pistillate.1.low,flower_count_pistillate.1.high,
flower_count_pistillate,,flower_count_pistillate.2.low,,
flower_count_staminate,,flower_count_staminate.1.low,flower_count_staminate.1.high,
flower_locular_count,,flower_locular_count.1.low,,
flower_ranked_count,,flower_ranked_count.1.low,,
flower_trichome_count,,flower_trichome_count.1.low,,
flower_trichome_count,,flower_trichome_count.2.low,,
fruit_apex_count,,fruit_apex_count.1.low,fruit_apex_count.1.high,
fruit_count,,fruit_count.1.low,fruit_count.1.high,
fruit_count,,fruit_count.2.low,,
fruit_hair_count,,fruit_hair_count.1.low,,
fruit_lobe_count,fruit_lobe_count.1.min,fruit_lobe_count.1.low,,
fruit_locular_count,,fruit_locular_count.1.low,,
fruit_valve_count,,fruit_valve_count.1.low,,
fruit_wing_count,,fruit_wing_count.1.low,,
indehiscent_count,,indehiscent_count.1.low,indehiscent_count.1.high,
indumentum_count,,indumentum_count.1.low,indumentum_count.1.high,
inflorescence_count,inflorescence_count.1.min,inflorescence_count.1.low,inflorescence_count.1.high,inflorescence_count.1.max
inflorescence_count,,inflorescence_count.2.low,inflorescence_count.2.high,
inflorescence_count_male,,inflorescence_count_male.1.low,inflorescence_count_male.1.high,
inflorescence_count_pistillate,,inflorescence_count_pistillate.1.low,,
inflorescence_count_staminate,,inflorescence_count_staminate.1.low,inflorescence_count_staminate.1.high,
inflorescence_gland_count,,inflorescence_gland_count.1.low,,
inflorescence_lobe_count,,inflorescence_lobe_count.1.low,inflorescence_lobe_count.1.high,
inflorescence_tooth_count,,inflorescence_tooth_count.1.low,inflorescence_tooth_count.1.high,
infructescence_count,infructescence_count.1.min,infructescence_count.1.low,infructescence_count.1.high,infructescence_count.1.max
infructescence_count_staminate,,infructescence_count_staminate.1.low,,
infructescence_locular_count_pistillate,,infructescence_locular_count_pistillate.1.low,,
infructescence_tooth_count,,infructescence_tooth_count.1.low,infructescence_tooth_count.1.high,
introrse_count,,introrse_count.1.low,introrse_count.1.high,
leaf_apex_count,,leaf_apex_count.1.low,leaf_apex_count.1.high,
leaf_axil_count_male,,leaf_axil_count_male.1.low,leaf_axil_count_male.1.high,
leaf_count,leaf_count.1.min,leaf_count.1.low,leaf_count.1.high,leaf_count.1.max
leaf_count,,leaf_count.2.low,leaf_count.2.high,leaf_count.2.max
leaf_count,,leaf_count.3.low,leaf_count.3.high,
leaf_furcate_count,,leaf_furcate_count.1.low,,
leaf_hair_count,,leaf_hair_count.1.low,leaf_hair_count.1.high,
leaf_lobe_count,,leaf_lobe_count.1.low,leaf_lobe_count.1.high,leaf_lobe_count.1.max
leaf_lobe_count,,leaf_lobe_count.2.low,leaf_lobe_count.2.high,
leaf_margin_count,leaf_margin_count.1.min,leaf_margin_count.1.low,leaf_margin_count.1.high,
leaf_ranked_count,,leaf_ranked_count.1.low,leaf_ranked_count.1.high,
leaf_ranked_count,,leaf_ranked_count.2.low,,
leaf_ray_count,leaf_ray_count.1.min,leaf_ray_count.1.low,leaf_ray_count.1.high,leaf_ray_count.1.max
leaf_scales_count,,leaf_scales_count.1.low,leaf_scales_count.1.high,
leaf_tooth_count,leaf_tooth_count.1.min,leaf_tooth_count.1.low,leaf_tooth_count.1.high,
leaf_trichome_count,,leaf_trichome_count.1.low,,
leaf_valve_count,,leaf_valve_count.1.low,,
leaflet_count,leaflet_count.1.min,leaflet_count.1.low,leaflet_count.1.high,leaflet_count.1.max
leaflet_count,,leaflet_count.2.low,leaflet_ray_count.1.high,
leaflet_hair_count,,leaflet_hair_count.1.low,,
leaflet_ray_count,,leaflet_ray_count.1.low,,
leaflet_scales_count,,leaflet_scales_count.1.low,,
lenticel_count,,lenticel_count.1.low,lenticel_count.1.high,
locule_count,,locule_count.1.low,,
nut_apex_count,,nut_apex_count.1.low,,
nut_count,nut_count.1.min,nut_count.1.low,nut_count.1.high,nut_count.1.max
nut_count,nut_count.2.min,nut_count.2.low,nut_count.2.high,nut_count.2.max
nut_count,,nut_count.3.low,nut_count.3.high,
nut_hair_count,,nut_hair_count.1.low,,
nut_lobe_count,,nut_lobe_count.1.low,,
nut_margin_count,,nut_margin_count.1.low,nut_margin_count.1.high,
nut_ray_count,nut_ray_count.1.min,nut_ray_count.1.low,nut_ray_count.1.high,nut_ray_count.1.max
nut_wing_count,,nut_wing_count.1.low,,
nutlet_axil_count,,nutlet_axil_count.1.low,,
nutlet_count,nutlet_count.1.min,nutlet_count.1.low,nutlet_count.1.high,
nutlet_lobe_count,,nutlet_lobe_count.1.low,nutlet_lobe_count.1.high,
ovary_count,ovary_count.1.min,ovary_count.1.low,ovary_count.1.high,ovary_count.1.max
ovary_count,,ovary_count.2.low,,
ovary_locular_count,,ovary_locular_count.1.low,,
panicle_count,,panicle_count.1.low,panicle_count.1.high,
panicle_count_male,,panicle_count_male.1.low,panicle_count_male.1.high,
peduncle_count,,peduncle_count.1.low,peduncle_count.1.high,
peduncle_lobe_count,,peduncle_lobe_count.1.low,peduncle_lobe_count.1.high,
peduncle_ray_count,,peduncle_ray_count.1.low,peduncle_ray_count.1.high,
perianth_count,perianth_count.1.min,perianth_count.1.low,perianth_count.1.high,
perianth_lobe_count,,perianth_lobe_count.1.low,perianth_lobe_count.1.high,perianth_lobe_count.1.max
perianth_lobe_count,,perianth_lobe_count.2.low,perianth_lobe_count.2.high,
petal_count,,petal_count.1.low,,
petal_count,,petal_count.2.low,,
petiole_count,petiole_count.1.min,petiole_count.1.low,petiole_count.1.high,petiole_count.1.max
petiole_hair_count,,petiole_hair_count.1.low,,
petiole_lobe_count,,petiole_lobe_count.1.low,petiole_lobe_count.1.high,petiole_lobe_count.1.max
petiole_margin_count,,petiole_margin_count.1.low,,
petiole_ray_count,,petiole_ray_count.1.low,petiole_ray_count.1.high,
petiole_scales_count,,petiole_scales_count.1.low,petiole_scales_count.1.high,
petiole_sinus_count,,petiole_sinus_count.1.low,petiole_sinus_count.1.high,
petiole_tooth_count,,petiole_tooth_count.1.low,petiole_tooth_count.1.high,
pistil_count,,pistil_count.1.low,pistil_count.1.high,pistil_count.1.max
pistil_count,,pistil_count.2.low,,
pistil_hair_count,,pistil_hair_count.1.low,,
pistil_trichome_count,,pistil_trichome_count.1.low,,
pith_ranked_count,,pith_ranked_count.1.low,,
raceme_count,,raceme_count.1.low,raceme_count.1.high,
rachis_apex_count,,rachis_apex_count.1.low,,
rachis_bract_count,,rachis_bract_count.1.low,rachis_bract_count.1.high,
rachis_count,rachis_count.1.min,rachis_count.1.low,rachis_count.1.high,rachis_count.1.max
